Team,QB,RB,WR,TE
ARI,1,4,12,2
ATL,10,1,7,7
BAL,25,28,19,3
BUF,19,22,15,5
CAR,6,6,2,18
CHI,26,24,13,21
CIN,30,18,20,22
CLE,29,13,31,16
DAL,31,25,32,32
DEN,13,31,29,17
DET,28,32,17,11
GB,23,14,21,27
HOU,2,12,18,14
IND,16,15,26,19
JAX,11,16,28,13
KC,12,20,16,31
LAC,21,29,27,8
LAR,7,11,11,23
LV,22,23,23,29
MIA,9,9,4,10
MIN,27,26,25,26
NE,15,8,22,9
NO,5,2,24,20
NYG,32,27,30,30
NYJ,3,3,1,1
PHI,17,19,10,25
PIT,20,21,8,15
SEA,8,7,6,4
SF,4,5,3,12
TB,18,10,9,24
TEN,14,17,5,6
WAS,24,30,14,28
